image,text
/0.png,"پشاور،بنوں (نمائندہ جنگ،اے ایف پی) بنوں میں اقوام میراخیل اور 
"
/1.png,"اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس 
"
/10.png,"نے بجلی وگیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے 
"
/100.png,"نہیں آ یا۔ آخریہ کونسا مذہب ہے؟کیا اسلام کے نام 
"
/1000.png,"ضرور ہے۔ انہوں نے کہا کہ میرا احمدیوں سے کوئی 
"
/10000.png,"ڈالر کی قدر میں اضافہ ہوگیا تاہم یورپین ممالک کی 
"
/10001.png,"اہم کرنسیوں بشمول یورو اور برطانوی پاؤنڈ کی قدر میں 
"
/10002.png,"کمی ریکارڈ کی گئی۔ منگل کو امریکی ڈالر کی قیمت 
"
/10003.png,"فروخت اور قیمت خرید میں بالترتیب 21 پیسے اور 20 
"
/10004.png,"پیسے کی تیزی رہی، تاہم یورو کی قیمت فروخت میں 
"
/10005.png,"50 پیسے اور قیمت خرید میں 49 پیسے کی کمی 
"
/10006.png,"ریکارڈ کی گئی۔ اسی طرح برطانوی پاؤنڈ کی قدر میں 
"
/10007.png,"بھی 45 پیسے کی مندی رہی۔ نیشنل بینک آف پاکستان 
"
/10008.png,"سے جاری کردہ اعداد و شمار کے مطابق امریکی ڈالر 
"
/10009.png,"اپنی گزشتہ کاروباری روز کی قیمت فروخت 88.17 روپے سے 
"
/1001.png,"تعلق نہیں، انہوں نے کہا کہ پولیس کو اپنی کارکردگی 
"
/10010.png,"بڑھ کر 88.38 روپے اور قیمت خرید 85.97 روپے سے 
"
/10011.png,"بڑھ کر 86.17 روپے ہوگئی۔ دریں اثناء یورو کی قیمت 
"
/10012.png,"فروخت 124.93 روپے سے کم ہو کر 124.43 روپے اور 
"
/10013.png,"قیمت خرید 121.77 روپے سے کم ہو کر 121.28 روپے 
"
/10014.png,"ہوگئی۔ اسی طرح برطانوی پاؤنڈ کی قیمت فروخت بھی 142.69 
"
/10015.png,"روپے سے کم ہو کر 142.24 روپے اور قیمت خرید 
"
/10016.png,"139.11 روپے سے کم ہو کر 138.66 روپے پر بند 
"
/10017.png,"ہوئی۔  
"
/10018.png,"واشنگٹن (اے پی پی) ورلڈ بینک نے امید ظاہر کی 
"
/10019.png,"ہے کہ امریکہ کو ایک اور کساد بازاری کا سامنا 
"
/1002.png,"بہتر بنانی چاہئے کیونکہ وزیراعلیٰ پنجاب نے انکی تنخواہیں ڈبل 
"
/10020.png,"نہیں کرنا پڑے گا۔ ورلڈ بینک کے سربراہ رابرٹ زوئیلک 
"
/10021.png,"نے اپنے ایک بیان میں کہا ہے کہ انہیں اس 
"
